,processor_peak_power,core_area,core_subthreshold_leakage,core_gate_leakage,core_runtime_dynamic,L2_area,L2_subthreshold_leakage,L2_gate_leakage,L2_runtime_dynamic,Benchmark,Config
13,9.93679,12.3288,1.26996,0.00797365,0.503794,38.4333,0.0163995,0.00351474,0.0755758,specbzip,cl_128_L1i_assoc_4
14,8.79613,11.0402,1.18338,0.00728232,0.49656,18.4409,0.00982759,0.00213695,0.0577161,specbzip,cl_128_L2_1MB
15,8.5607,11.0402,1.18338,0.00728232,0.50924,17.2367,0.011754,0.00179701,0.0512691,specbzip,cl_128_L2_4MB
16,8.30677,11.0402,1.18338,0.00728232,0.503613,9.55784,0.00636927,0.000960741,0.0400802,specbzip,cl_128_L2_assoc_16
17,9.22489,11.0402,1.18338,0.00728232,0.503924,38.5022,0.0163047,0.00350145,0.0752962,specbzip,cl_128_L2_assoc_4
18,28.9135,31.5755,2.62763,0.016631,1.65248,63.5151,0.0342731,0.0079159,0.169947,specbzip,cl_256_L1d_128kB
19,27.1833,26.7476,2.38038,0.0151099,0.952909,63.5151,0.0342731,0.0079159,0.293956,specbzip,cl_256_L1d_32kB
20,27.1092,26.9365,2.38747,0.0150925,0.908535,63.5151,0.0342731,0.0079159,0.291103,specbzip,cl_256_L1d_assoc_1
21,29.3357,32.4329,2.64543,0.0169011,1.81064,63.5151,0.0342731,0.0079159,0.212837,specbzip,cl_256_L1d_assoc_4
22,27.3978,27.1127,2.39875,0.0152076,0.963474,63.5151,0.0342731,0.0079159,0.234845,specbzip,cl_256_L1i_16kB
23,27.1344,26.9855,2.39407,0.0150751,0.963153,63.5151,0.0342731,0.0079159,0.234711,specbzip,cl_256_L1i_64kB
24,25.7949,24.3346,2.21481,0.0137089,0.963409,63.5151,0.0342731,0.0079159,0.234828,specbzip,cl_256_L1i_assoc_1
25,30.1346,32.5264,2.66855,0.0170367,0.963563,63.5151,0.0342731,0.0079159,0.23482,specbzip,cl_256_L1i_assoc_4
26,26.4747,26.8722,2.38722,0.0150925,0.949594,41.012,0.0246282,0.00569725,0.198603,specbzip,cl_256_L2_1MB
27,27.8819,26.8722,2.38722,0.0150925,0.971337,83.7665,0.0426703,0.00936352,0.273362,specbzip,cl_256_L2_4MB
28,48.7231,69.3741,4.20938,0.0261531,1.84337,83.6797,0.0428605,0.00939029,0.18114,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16
29,32.6443,37.14,2.92846,0.0186976,1.84344,83.6797,0.0428605,0.00939029,0.18116,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4
30,37.1858,46.1337,3.31797,0.0211603,1.84317,83.6797,0.0428605,0.00939029,0.181123,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8
31,41.2294,56.9064,3.71281,0.0237037,3.48776,83.6797,0.0428605,0.00939029,0.166079,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8
32,27.2228,26.8722,2.38722,0.0150925,0.963376,63.4759,0.034368,0.00792922,0.236559,specbzip,cl_256_L2_assoc_16
33,27.2025,26.8722,2.38722,0.0150925,0.96408,63.5544,0.0342259,0.00790933,0.234681,specbzip,cl_256_L2_assoc_4
34,3.86567,7.22483,1.098,0.00726281,0.306127,7.0038,0.00472789,0.000571604,0.0149668,specbzip,default
35,4.36266,9.87973,1.38119,0.00969175,0.403955,7.0038,0.00472789,0.000571604,0.0111776,specbzip,L1d_128kB
36,5.36199,12.2715,1.78243,0.0133423,0.403966,7.0038,0.00472789,0.000571604,0.0111761,specbzip,L1d_128kB_L1i_64kB
