sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup
0.059389,1.187777,0.001638,0.000142,0.079268,spechmmer,L1i_assoc_4,1.187917,1.0001178672427566
0.059385,1.18771,0.001638,9e-05,0.080362,spechmmer,L1i_assoc_8,1.187917,1.0001742849685529
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_1MB,1.187917,1.0
0.059399,1.187974,0.001637,0.000221,0.07776,spechmmer,L2_4MB,1.187917,0.9999520191519341
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_assoc_16,1.187917,1.0
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_assoc_2,1.187917,1.0
0.059397,1.187945,0.001637,0.000221,0.077759,spechmmer,L2_assoc_32,1.187917,0.9999764298852218
0.059396,1.187917,0.001637,0.000221,0.07776,spechmmer,L2_assoc_4,1.187917,1.0
0.059397,1.187946,0.001637,0.000221,0.077759,spechmmer,L2_assoc_64,1.187917,0.9999755881159581
0.058865,1.177306,0.000216,4.3e-05,0.183369,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,1.187917,1.0090129499042728
0.058869,1.177387,0.000216,5e-05,0.181544,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,1.187917,1.008943533434631
0.058865,1.177306,0.000216,4.4e-05,0.1831,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,1.187917,1.0090129499042728
0.058855,1.177095,0.000177,4.4e-05,0.227152,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,1.187917,1.0091938203798334
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,Cacheline_128,3.493415,1.3533554229866436
0.490062,9.801234,0.243877,7.5e-05,0.99999,speclibm,Cacheline_16,3.493415,0.35642603778258947
0.099532,1.990648,0.015244,0.000134,0.999474,speclibm,Cacheline_256,3.493415,1.754913475411022
0.280391,5.607827,0.12194,8.5e-05,0.999979,speclibm,Cacheline_32,3.493415,0.6229534184988231
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,cl_128_L1d_128kB,3.493415,1.3533554229866436
0.129064,2.58128,0.030486,0.000112,0.99979,speclibm,cl_128_L1d_32kB,3.493415,1.3533653846153846
0.129921,2.598416,0.031778,0.000112,0.944482,speclibm,cl_128_L1d_assoc_1,3.493415,1.3444402282005654
0.129065,2.581299,0.030487,0.000112,0.9998,speclibm,cl_128_L1d_assoc_4,3.493415,1.3533554229866436
0.129066,2.581318,0.030487,0.000141,0.999631,speclibm,cl_128_L1i_16kB,3.493415,1.3533454615045493
0.129063,2.581262,0.030486,9e-05,0.999923,speclibm,cl_128_L1i_64kB,3.493415,1.3533748220831516
0.129066,2.581324,0.030487,0.000146,0.999604,speclibm,cl_128_L1i_assoc_1,3.493415,1.3533423158038278
0.129064,2.581284,0.030487,9.5e-05,0.999894,speclibm,cl_128_L1i_assoc_4,3.493415,1.3533632874181996
0.12918,2.583607,0.030487,0.000112,0.999799,speclibm,cl_128_L2_1MB,3.493415,1.3521464371322727
0.128833,2.576667,0.030487,0.000112,0.999799,speclibm,cl_128_L2_4MB,3.493415,1.3557883110235045
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,cl_128_L2_assoc_16,3.493415,1.3533554229866436
0.129065,2.581299,0.030487,0.000112,0.999799,speclibm,cl_128_L2_assoc_4,3.493415,1.3533554229866436
0.099532,1.990648,0.015244,0.000134,0.999482,speclibm,cl_256_L1d_128kB,3.493415,1.754913475411022
0.099532,1.990648,0.015245,0.000135,0.999442,speclibm,cl_256_L1d_32kB,3.493415,1.754913475411022
0.101782,2.035647,0.017954,0.000134,0.804798,speclibm,cl_256_L1d_assoc_1,3.493415,1.7161202310616723
0.099532,1.990648,0.015244,0.000134,0.999484,speclibm,cl_256_L1d_assoc_4,3.493415,1.754913475411022
0.099532,1.990648,0.015244,0.000172,0.999171,speclibm,cl_256_L1i_16kB,3.493415,1.754913475411022
0.09953,1.990606,0.015244,9e-05,0.999833,speclibm,cl_256_L1i_64kB,3.493415,1.7549505025102907
0.099538,1.990761,0.015244,0.000207,0.998889,speclibm,cl_256_L1i_assoc_1,3.493415,1.7548138626384584
0.099532,1.990648,0.015244,0.000114,0.999637,speclibm,cl_256_L1i_assoc_4,3.493415,1.754913475411022
0.099563,1.991266,0.015244,0.000134,0.999474,speclibm,cl_256_L2_1MB,3.493415,1.7543688286748231
0.099465,1.989307,0.015244,0.000134,0.999474,speclibm,cl_256_L2_4MB,3.493415,1.7560964697756556
0.099532,1.990648,0.015244,0.000134,0.999474,speclibm,cl_256_L2_assoc_16,3.493415,1.754913475411022
0.099532,1.990648,0.015244,0.000134,0.999474,speclibm,cl_256_L2_assoc_4,3.493415,1.754913475411022
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,default,3.493415,1.0
0.174671,3.493423,0.06097,9.4e-05,0.999944,speclibm,L1d_128kB,3.493415,0.9999977099824442
0.174671,3.493415,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB,3.493415,1.0
0.175298,3.505956,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_1MB,3.493415,0.9964229442696942
0.175298,3.505956,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,3.493415,0.9964229442696942
0.175298,3.505956,0.060972,8.8e-05,0.999968,speclibm,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,3.493415,0.9964229442696942
0.174479,3.489571,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_4MB,3.493415,1.0011015680724078
0.174479,3.489571,0.060972,8.8e-05,0.999967,speclibm,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,3.493415,1.0011015680724078
0.174479,3.489571,0.060972,8.8e-05,0.999968,speclibm,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,3.493415,1.0011015680724078
0.174691,3.493825,0.060972,9.4e-05,0.999942,speclibm,L1d_32kB,3.493415,0.9998826501041123
0.175516,3.510325,0.061561,9.4e-05,0.986457,speclibm,L1d_assoc_1,3.493415,0.9951827822210195
0.174671,3.493415,0.060972,9.4e-05,0.999945,speclibm,L1d_assoc_4,3.493415,1.0
0.174671,3.493415,0.060972,9.4e-05,0.999945,speclibm,L1d_assoc_8,3.493415,1.0
0.174653,3.49305,0.060966,0.000113,0.999866,speclibm,L1i_16kB,3.493415,1.0001044932079415
0.17467,3.493408,0.060971,8.8e-05,0.999967,speclibm,L1i_64kB,3.493415,1.0000020037739652
0.174648,3.492952,0.060972,0.000122,0.99983,speclibm,L1i_assoc_1,3.493415,1.0001325526374254
0.174665,3.493293,0.060972,8.7e-05,0.999973,speclibm,L1i_assoc_4,3.493415,1.0000349240673485
0.174665,3.493293,0.060972,8.5e-05,0.999978,speclibm,L1i_assoc_8,3.493415,1.0000349240673485
0.174772,3.495444,0.060972,9.4e-05,0.999944,speclibm,L2_1MB,3.493415,0.9994195301083354
0.174482,3.489639,0.060972,9.4e-05,0.999944,speclibm,L2_4MB,3.493415,1.0010820603506552
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_16,3.493415,1.0
0.174671,3.493415,0.060972,9.4e-05,0.999944,speclibm,L2_assoc_2,3.493415,1.0
