Benchmark,Config,Cost,speedup,pcr
spechmmer,L1i_assoc_4,1.2352941176470589,1.0001178672427566,0.8096192258631839
spechmmer,L1d_assoc_4,1.2352941176470589,1.0001557590432857,0.809649900177898
specmcf,L1d_assoc_4,1.2352941176470589,1.000328798430392,0.8097899796817458
specmcf,cl_256_L2_4MB,1.2352941176470589,1.000621587814106,0.8100269996590382
specmcf,cl_128_L1d_128kB,1.2058823529411764,0.9770187989037734,0.810210711286056
specmcf,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,1.3823529411764706,1.1201595873561427,0.8103282121299756
spechmmer,cl_256_L2_4MB,1.2352941176470589,1.0068253629231843,0.8150491033187681
specbzip,L1d_assoc_4,1.2352941176470589,1.0096010223138265,0.8172960656826215
specbzip,cl_256_L2_4MB,1.2352941176470589,1.0186623873931242,0.8246314564611005
speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,2.1176470588235294,1.7560955870081456,0.8292673605316243
specmcf,cl_128_L2_assoc_16,1.1764705882352942,0.9763513284997832,0.8298986292248157
specmcf,L1d_128kB_L1i_64kB_L2_4MB,1.3529411764705883,1.1250458992088017,0.8315556646325926
specbzip,Cacheline_16,0.9558823529411765,0.7955133172050447,0.8322293164606621
spechmmer,cl_128_L1i_64kB,1.2058823529411764,1.0055180387981018,0.8338442272959868
spechmmer,cl_128_L1d_128kB,1.2058823529411764,1.006193434722028,0.8344043117207063
specbzip,cl_128_L1i_64kB,1.2058823529411764,1.0080020836383976,0.8359041669196469
specmcf,Cacheline_256,1.1764705882352942,1.000501369331292,0.8504261639315982
specbzip,cl_128_L1d_128kB,1.2058823529411764,1.0274772867968571,0.8520543353925157
spechmmer,cl_128_L2_assoc_16,1.1764705882352942,1.00502462820797,0.8542709339767744
spechmmer,Cacheline_256,1.1764705882352942,1.0068253629231843,0.8558015584847066
specbzip,cl_128_L2_assoc_16,1.1764705882352942,1.0075461738259341,0.856414247752044
specbzip,Cacheline_256,1.1764705882352942,1.0106452750310178,0.8590484837763651
specbzip,cl_256_L2_1MB,1.1470588235294117,0.9958172887375091,0.8681484055660336
specmcf,L1d_128kB_L1i_64kB,1.2941176470588236,1.1245910778577373,0.8690021965264333
specmcf,cl_256_L2_1MB,1.1470588235294117,0.9980754456054087,0.8701170551431769
