Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16	0.057987	1.159741	0.001932	0.000018	0.837149
specmcf/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4	0.057978	1.159550	0.001877	0.000018	0.857904
specmcf/L1d_128kB_L1i_64kB_L2_4MB	0.057735	1.154704	0.001932	0.000018	0.770179
specmcf/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16	0.057735	1.154704	0.001932	0.000018	0.770179
specmcf/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4	0.057727	1.154547	0.001877	0.000018	0.789310
specmcf/L1d_32kB	0.064989	1.299780	0.002493	0.023612	0.054349
specmcf/L1d_assoc_1	0.065048	1.300951	0.002816	0.023609	0.053669
specmcf/L1d_assoc_4	0.064933	1.298668	0.001970	0.023611	0.055307
specmcf/L1d_assoc_8	0.064931	1.298611	0.001932	0.023611	0.055376
specmcf/L1i_16kB	0.070116	1.402316	0.002108	0.042936	0.031607
specmcf/L1i_64kB	0.057780	1.155606	0.002108	0.000018	0.711878
specmcf/L1i_assoc_1	0.066777	1.335538	0.002108	0.034857	0.038453
specmcf/L1i_assoc_4	0.057773	1.155450	0.002108	0.000019	0.711863
specmcf/L1i_assoc_8	0.057773	1.155450	0.002108	0.000018	0.711944
specmcf/L2_1MB	0.065187	1.303750	0.002108	0.023612	0.059346
specmcf/L2_4MB	0.064926	1.298512	0.002108	0.023612	0.054613
specmcf/L2_assoc_16	0.064956	1.299114	0.002108	0.023612	0.055085
specmcf/L2_assoc_2	0.064960	1.299192	0.002108	0.023612	0.055223
specmcf/L2_assoc_32	0.064956	1.299113	0.002108	0.023612	0.055066
specmcf/L2_assoc_4	0.064952	1.299037	0.002108	0.023612	0.055085
specmcf/L2_assoc_64	0.064956	1.299113	0.002108	0.023612	0.055078
specsjeng/1GHz	0.704056	7.040561	0.121831	0.000020	0.999972
specsjeng/3GHz	0.449821	13.508136	0.121831	0.000020	0.999972
specsjeng/Cacheline_128	0.339974	6.799471	0.060922	0.000015	0.999825
specsjeng/Cacheline_16	1.674291	33.485823	0.487302	0.000029	0.999994
specsjeng/Cacheline_256	0.258786	5.175719	0.030472	0.000011	0.999168
specsjeng/Cacheline_32	0.882685	17.653706	0.243654	0.000023	0.999988
specsjeng/default	0.513528	10.270554	0.121831	0.000020	0.999972
specsjeng/L1d_128kB	0.513526	10.270520	0.121831	0.000020	0.999976
specsjeng/L1d_128kB_L1i_64kB	0.513526	10.270520	0.121831	0.000019	0.999983
specsjeng/L1d_128kB_L1i_64kB_L2_1MB	0.513650	10.273004	0.121831	0.000019	0.999983
specsjeng/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16	0.513513	10.270259	0.121831	0.000019	0.999983
specsjeng/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4	0.513517	10.270342	0.121831	0.000019	0.999986
specsjeng/L1d_128kB_L1i_64kB_L2_4MB	0.513271	10.265414	0.121831	0.000019	0.999983
specsjeng/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16	0.513229	10.264575	0.121831	0.000019	0.999983
specsjeng/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4	0.513274	10.265472	0.121831	0.000019	0.999986
specsjeng/L1d_32kB	0.513526	10.270520	0.121833	0.000020	0.999948
specsjeng/L1d_assoc_1	0.514501	10.290026	0.122393	0.000020	0.990849
specsjeng/L1d_assoc_4	0.513526	10.270520	0.121831	0.000020	0.999978
specsjeng/L1d_assoc_8	0.513518	10.270355	0.121831	0.000020	0.999978
specsjeng/L1i_16kB	0.513545	10.270894	0.121831	0.000023	0.999959
